id,hypers,roc,acc
21,"Namespace(experiment_id='21', head_linear=980, head_ps=0.6130121476435577, lr=0.0021600724897927197, lr_mult=30, mask_prob=0.22773477056103597, max_masked=2, max_tgt_length=13, stem_ps=0.3988824778754093, train_epochs=6, vis_mask_prob=0.20170487237060056)",0.5995110743913894,0.5932692289352417
22,"Namespace(experiment_id='22', head_linear=729, head_ps=0.7802043258149101, lr=0.003248266428373014, lr_mult=49, mask_prob=0.2211152027547477, max_masked=48, max_tgt_length=56, stem_ps=0.07907648276509044, train_epochs=9, vis_mask_prob=0.27373506446327106)",0.7218066103044091,0.6817307472229004
23,"Namespace(experiment_id='23', head_linear=614, head_ps=0.7461079624439991, lr=0.0017560303683636664, lr_mult=2, mask_prob=0.2461201640908112, max_masked=22, max_tgt_length=75, stem_ps=0.011833092621855723, train_epochs=7, vis_mask_prob=0.25654902073454244)",0.6144316051171195,0.5903846025466919
24,"Namespace(experiment_id='24', head_linear=617, head_ps=0.2879528263104958, lr=0.0009025202943988997, lr_mult=42, mask_prob=0.055179483927748484, max_masked=1, max_tgt_length=82, stem_ps=0.4021319378245906, train_epochs=9, vis_mask_prob=0.2111661656759375)",0.7188941830679327,0.6634615659713745
25,"Namespace(experiment_id='25', head_linear=957, head_ps=0.4306208927988074, lr=0.004334329773017087, lr_mult=17, mask_prob=0.015056413814929436, max_masked=23, max_tgt_length=88, stem_ps=0.207031639180563, train_epochs=10, vis_mask_prob=0.015387090573266303)",0.6361578595923356,0.6153846383094788
26,"Namespace(experiment_id='26', head_linear=135, head_ps=0.34203688343237365, lr=0.0010981897565663383, lr_mult=37, mask_prob=0.1691451004556853, max_masked=4, max_tgt_length=10, stem_ps=0.10010329776042559, train_epochs=6, vis_mask_prob=0.22924427199761857)",0.6770412455530781,0.6461538672447205
27,"Namespace(experiment_id='27', head_linear=326, head_ps=0.35519615258836623, lr=0.0029128492751166564, lr_mult=24, mask_prob=0.17489021638463303, max_masked=1, max_tgt_length=42, stem_ps=0.30193570072875753, train_epochs=11, vis_mask_prob=0.2924577938591976)",0.686336868235303,0.6576923131942749
28,"Namespace(experiment_id='28', head_linear=992, head_ps=0.7486457605082073, lr=0.0007261784176786373, lr_mult=7, mask_prob=0.0228575961476958, max_masked=5, max_tgt_length=66, stem_ps=0.363834098716406, train_epochs=8, vis_mask_prob=0.016123590452802927)",0.7251679738636064,0.6663461327552795
29,"Namespace(experiment_id='29', head_linear=826, head_ps=0.4294404375572114, lr=0.0039328295102411225, lr_mult=31, mask_prob=0.16835568573049817, max_masked=23, max_tgt_length=38, stem_ps=0.2347533951271522, train_epochs=8, vis_mask_prob=0.17232412605504052)",0.6299029316673646,0.6230769157409668
30,"Namespace(experiment_id='30', head_linear=620, head_ps=0.06759070391013795, lr=0.004538650499168789, lr_mult=16, mask_prob=0.0728851080026825, max_masked=8, max_tgt_length=10, stem_ps=0.2151259699338645, train_epochs=7, vis_mask_prob=0.19633121068022205)",0.5893043750542307,0.5701923370361328
31,"Namespace(experiment_id='31', head_linear=944, head_ps=0.3219443129777966, lr=0.004020680626308414, lr_mult=31, mask_prob=0.1267311088045576, max_masked=59, max_tgt_length=79, stem_ps=0.4055744067380441, train_epochs=6, vis_mask_prob=0.1444803266022212)",0.6148013173828899,0.5701923370361328
32,"Namespace(experiment_id='32', head_linear=867, head_ps=0.4487619302470345, lr=0.004160507000340238, lr_mult=10, mask_prob=0.25472757500993104, max_masked=4, max_tgt_length=46, stem_ps=0.01964112311992433, train_epochs=8, vis_mask_prob=0.08560285064029434)",0.625628605166163,0.6115384697914124
33,"Namespace(experiment_id='33', head_linear=539, head_ps=0.49022931426521715, lr=0.004901241632168957, lr_mult=47, mask_prob=0.05421801897879495, max_masked=0, max_tgt_length=25, stem_ps=0.1402118780089101, train_epochs=10, vis_mask_prob=0.14499273893710524)",0.6709768326222031,0.6211538314819336
34,"Namespace(experiment_id='34', head_linear=336, head_ps=0.1622693335390812, lr=0.00468263067634391, lr_mult=13, mask_prob=0.0066206190109314835, max_masked=65, max_tgt_length=69, stem_ps=0.48667083963921276, train_epochs=6, vis_mask_prob=0.21957177783122564)",0.5385896608833104,0.5701923370361328
35,"Namespace(experiment_id='35', head_linear=691, head_ps=0.38693780894580415, lr=0.002879967880388168, lr_mult=13, mask_prob=0.14086577520963492, max_masked=18, max_tgt_length=18, stem_ps=0.36965224981879186, train_epochs=8, vis_mask_prob=0.18783731221740324)",0.5970400383293533,0.5807692408561707
36,"Namespace(experiment_id='36', head_linear=901, head_ps=0.14854348521072086, lr=0.004126413244448272, lr_mult=6, mask_prob=0.21996813664573583, max_masked=24, max_tgt_length=33, stem_ps=0.12887569610002653, train_epochs=7, vis_mask_prob=0.19641466385321255)",0.6066751926842242,0.5807692408561707
